Role,Dialogue
고객,자동차 대출 좀 알아보려고 하는데요.
상담사,자동차 계약은 체결하셨습니까?
고객,"네, 신차로 계약했어요."
상담사,서울보증보험의 적격심사는 통과하셨나요?
고객,안그래도 대출받으려고 한다니까 자동차 대리점에서 서울보증보험 적격심사를 받아야 한다고 그래서 받고 통과했어요.
상담사,현재 직장인이신 거죠?
고객,네 직장인으로 대출받을 예정이고요.
상담사,입사한지는 1년 넘었어요.
고객,그러시면 대출 한도는 최대 6천만 원까지 가능하신데 연 소득에 따라 금액이 달라질 수 있습니다.
상담사,대출 한도 기준이 제 연소득으로 판단되는 건가요?
고객,아닙니다.
상담사,고객님의 연소득뿐만 아니라 차량 판매가격 범위 내 최소 300만 원부터 대출이 가능하시고요.
고객,서울보증보험에 산출된 한도 이내에서 심사 후 결정이 됩니다.
상담사,그리고 25세 미만인 경우 차량 가액의 80%까지 대출이 가능하십니다.
고객,차종도 상관있나요?
상담사,차량 판매 가격 범위 내에서 최소 300만 원부터 가능한 거라서요.
고객,일반적으로 개인이 구매하시는 승용차 및 승합차는 대출 대상이 되십니다.
상담사,대리점에서도 개인이 타는 차는 거의 대출 대상이 된다고 하더라고요.
고객,대출하는데 비용도 발생된다던데 그건 뭔가요?
상담사,별다른 비용은 없으시고요.
고객,인지세라고 부담을 하게 되시는데 인지세 전액을 고객님께서 부담하시는 것이 아니라 은행과 50-50으로 부담하게 됩니다.
상담사,인지세는 얼마 정도인가요?
고객,대출금액에 따라 다른데요.
상담사,5천만 원 이하면 비과세고 5천만 원 초과 1억 이하면 각각.
고객,삼만오천원씩 총 칠만원이 부과됩니다.
상담사,금리는 어느정도인가요?
고객,저희 은행이 주거래 은행이시면 우대금리로 최고 일점 오 퍼센트입니다.
상담사,생각보다 금리가 괜찮네요.
고객,
